Data,Investido,TIpo,Quem investiu,Valor,,,,,,,,,,,,,,,,,,,,
01/03/2013,BebêStore,raised funds from,"- Atomico
   - W7 Brazil Capital","USD 10,200,000",,,,,,,,,,,,,,,,,,,,
01/03/2013,NuBank,raised funds from,Sequoia,"USD 2,000,000",,,,,,,,,,,,,,,,,,,,
01/03/2013,Startupi,raised funds from,"- Redpoint eVentures
   - Aceleratech
   - ASA Capital
   - In Hsieh
   - Trinidade Investimentos
   - Jacard Investimentos
   - Mountain do Brasil
   - Initial Capital
   - e.Bricks Digital
   - Cassio Spina","USD 300,000",,,,,,,,,,,,,,,,,,,,
01/03/2013,Rock Content,raised funds from,"- Napkn Ventures
   - Digital News Ventures
   - e.Bricks Digital","USD 500,000",,,,,,,,,,,,,,,,,,,,
01/03/2013,Marerua Ltda,raised funds from,"- Peter Fernandez
   - Eduardo Steiner
   - Jonathan Coon
   - Rafael Bertani
   - Levinthal Capital
   - Galen Hardy","USD 875,000",,,,,,,,,,,,,,,,,,,,
01/03/2013,I.Systems,raised funds from,- Pitanga,ND,,,,,,,,,,,,,,,,,,,,
01/03/2013,ZoeMob.com,raised funds from,- e.Bricks Digital,ND,,,,,,,,,,,,,,,,,,,,
01/03/2013,Geofusion,raised funds from,- Intel Capital,ND,,,,,,,,,,,,,,,,,,,,
01/03/2013,WebRadar,raised funds from,- Intel Capital,ND,,,,,,,,,,,,,,,,,,,,
01/03/2013,Seller,was acquired by,- Linx,"BRL 10,135,000",,,,,,,,,,,,,,,,,,,,
01/03/2013,Direção Processamento de Dados,was acquired by,- Linx,"BRL 26,485,000",,,,,,,,,,,,,,,,,,,,
01/03/2013,Blucarros,was acquired by,- RBS,ND,,,,,,,,,,,,,,,,,,,,
01/03/2013,CortaContas,was acquired by,- ComparaOnline.com,ND,,,,,,,,,,,,,,,,,,,,
01/03/2013,CellBroker,was acquired by,- SolutionTech,ND,,,,,,,,,,,,,,,,,,,,
01/02/2013,I.ndigo,merged with,- Taqtile,ND,,,,,,,,,,,,,,,,,,,,
01/02/2013,Jánamesa,raised funds from,- Otto Capital,"BRL 1,500,000",,,,,,,,,,,,,,,,,,,,
01/02/2013,ResolveAí,raised funds from,- Adriana Cisneros,"BRL 5,000,000",,,,,,,,,,,,,,,,,,,,
01/02/2013,iFood,raised funds from,- Movile,"BRL 5,500,000",,,,,,,,,,,,,,,,,,,,
01/02/2013,Linx,raised funds from,,"BRL 527,800,000",,,,,,,,,,,,,,,,,,,,
01/02/2013,SaferTaxi,raised funds from,"- Kaszek Ventures
   - Draper Associates
   - Otto Capital","BRL 6,400,000",,,,,,,,,,,,,,,,,,,,
01/02/2013,Samba Ads,raised funds from,"- 500 Startups
   - Rhodium
   - Initial Capital
   - Florian Otto
   - e.Bricks Digital","USD 500,000",,,,,,,,,,,,,,,,,,,,
01/02/2013,PetLove (petsupermarket),raised funds from,"- Tiger Global Management
   - Monashees Capital","USD 9,808,256",,,,,,,,,,,,,,,,,,,,
01/02/2013,Natue,raised funds from,- Project-A Ventures,ND,,,,,,,,,,,,,,,,,,,,
01/02/2013,Beercrew,raised funds from,- HFPX Participações,ND,,,,,,,,,,,,,,,,,,,,
01/02/2013,Remarcados,raised funds from,"- Gávea Angels
   - Lab22",ND,,,,,,,,,,,,,,,,,,,,
01/02/2013,TransportarOnline,raised funds from,"- Hans Hickler
   - NXTP Labs
   - Fundacion Chile
   - Startup Chile",ND,,,,,,,,,,,,,,,,,,,,
01/02/2013,EasyAula,raised funds from,- Macmillan Digital Education,ND,,,,,,,,,,,,,,,,,,,,
01/02/2013,Veduca,raised funds from,- Macmillan Digital Education,ND,,,,,,,,,,,,,,,,,,,,
01/02/2013,Widbook,raised funds from,- W7 Brazil Capital,ND,,,,,,,,,,,,,,,,,,,,
01/02/2013,Bolsa de Mulher,was acquired by,- Batanga Media,"BRL 45,000,000",,,,,,,,,,,,,,,,,,,,
01/02/2013,itBrain,was acquired by,- Compusoftware,ND,,,,,,,,,,,,,,,,,,,,
01/02/2013,MeuCarango,was acquired by,- Webmotors,ND,,,,,,,,,,,,,,,,,,,,
01/02/2013,Zipcode,was acquired by,- TransUnion,ND,,,,,,,,,,,,,,,,,,,,
01/01/2013,Padtec,raised funds from,"- BNDES
   - Ideiasnet","BRL 167,000,000",,,,,,,,,,,,,,,,,,,,
01/01/2013,uMov.me,raised funds from,- Totvs Ventures,"BRL 3,200,000",,,,,,,,,,,,,,,,,,,,
01/01/2013,EscolherSeguro,raised funds from,- Warehouse Investimentos,ND,,,,,,,,,,,,,,,,,,,,
01/01/2013,Meia Bandeirada,raised funds from,- Plug n' Work,ND,,,,,,,,,,,,,,,,,,,,
01/01/2013,Kekanto,raised funds from,- W7 Brazil Capital,ND,,,,,,,,,,,,,,,,,,,,
01/01/2013,ContaAzul,raised funds from,"- Napkn Ventures
   - Ribbit Capital
   - Monashees Capital",ND,,,,,,,,,,,,,,,,,,,,
01/01/2013,PC Sistemas,was acquired by,- Totvs,"BRL 95,000,000",,,,,,,,,,,,,,,,,,,,
01/12/2012,Hand Talk,raised funds from,- João Kepler Braga,"BRL 1,000,000",,,,,,,,,,,,,,,,,,,,
01/12/2012,Dafiti,raised funds from,"- Quadrant Capital Advisors
   - AB Kinnevik
   - Summit Partners","BRL 135,000,000",,,,,,,,,,,,,,,,,,,,
