NomeCandidato;NomeFornecedor;Valor;Descricao
JÌÒ PAULINO DE FREITAS;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;500;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS FORMATO 6X9 CMS
JÌÒ PAULINO DE FREITAS;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;161,75;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS 
JÌÒ PAULINO DE FREITAS;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;125,54;REERENTE IMPRESSÌÄO GRAFICA DE 10.000 SANTINHOS FORMATO 7X10 CMS
JECSON CAVALCANTE DUTRA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;450;REFERENTE A IMPRESSÌÄO GRAFICA DE SANTINHOS JECSON 
JECSON CAVALCANTE DUTRA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;125,54;REERENTE IMPRESSÌÄO GRAFICA DE 10.000 SANTINHOS FORMATO 7X10 CMS
JECSON CAVALCANTE DUTRA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;161,75;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS 
JECSON CAVALCANTE DUTRA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;500;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS FORMATO 6X9 CMS
JECSON CAVALCANTE DUTRA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;1535,83;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS FORMATO 6X9 CMS
ZENILDO VIEIRA DA SILVA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;380;REFERENTE A IMPRESSÌÄO GRAFICA DE SANTINHOS 
JAIRO CASSIANO BARBOSA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;380;REFERENTE A IMPRESSÌÄO GRAFICA DE SANTINHOS JAIRO CASSIANO
JAIRO CASSIANO BARBOSA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;62,77;REF A IMPRESSÌÄO GRAFICA DE 5.000 SANTINHOS FORMATO 7X10 CMS 
JAIRO CASSIANO BARBOSA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;161,75;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS 
JAIRO CASSIANO BARBOSA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;500;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS FORMATO 6X9 CMS
JOSÌä ADELMO DOS SANTOS ALVES;ELEICAO 2014 ILDERLEI SOUZA RODRIGUES CORDEIRO DEPUTADO FEDERAL;1000;DOAÌàÌÄO DE 100 MIL SANTINHOS A R$ 0åá01 UNIDADE 
MARIA ELCIMAR CORDEIRO DA SILVA;ELEICAO 2014 ILDERLEI SOUZA RODRIGUES CORDEIRO DEPUTADO FEDERAL;1000;DOAÌàÌÄO DE 100 MIL SANTINHOS PARA CAMPANHA ELEITORAL
JODERLANI DE MOURA SILVA;ELEICAO 2014 ILDERLEI SOUZA RODRIGUES CORDEIRO DEPUTADO FEDERAL;1000;DOAÌàAO DE 100 MIL SANTINHOS
WHENDY SNANKY PRAXEDES PONCIANO DA SILVA LIMA;ELEICAO 2014 ILDERLEI SOUZA RODRIGUES CORDEIRO DEPUTADO FEDERAL;563,3;DOAÌàAO DE 100 MIL SANTINHOS PARA PROPAGANDA ELEITORAL
MARIO SERGIO RODRIGUES DE ARAUJO;ELEICAO 2014 ILDERLEI SOUZA RODRIGUES CORDEIRO DEPUTADO FEDERAL;1000;DOAÌàAO DE 100 MIL SANTINHOS
RAIMUNDO NONATO BEZERRA DE SOUZA;ELEICAO 2014 ILDERLEI SOUZA RODRIGUES CORDEIRO DEPUTADO FEDERAL;2000;DOAÌàÌ¥A DE 200 MIL SANTINHOS
WALLAS VENTURA;ELEICAO 2014 ILDERLEI SOUZA RODRIGUES CORDEIRO DEPUTADO FEDERAL;1000;DOAÌàAO DE 100 MIL SANTINHOS PARA PROPAGANDA ELEITORAL
SABRINA GONDIM DE BARROS;ELEICAO 2014 ILDERLEI SOUZA RODRIGUES CORDEIRO DEPUTADO FEDERAL;1000;DOAÌàÌÄO DE 100.00 SANTINHOS
MANOEL FELICIANO PEREIRA DA SILVA;ELEICAO 2014 ILDERLEI SOUZA RODRIGUES CORDEIRO DEPUTADO FEDERAL;1000;DOAÌàAO DE 100 MIL SANTINHOS 
JOSE MARIA SORIANO DE AMARAL;ELEICAO 2014 ILDERLEI SOUZA RODRIGUES CORDEIRO DEPUTADO FEDERAL;1000;DOAÌàAO DE 100 MIL SANTINHOS 
MARIA JURACY GURGEL BEZERRA;ELEICAO 2014 ILDERLEI SOUZA RODRIGUES CORDEIRO DEPUTADO FEDERAL;1000;DOAÌàÌÄO DE 100 MIL SANTINHOS
MARIA AUXILIADORA DOS SANTOS ALMEIDA;ELEICAO 2014 ILDERLEI SOUZA RODRIGUES CORDEIRO DEPUTADO FEDERAL;563,3;DOAÌàAO DE 100 MIL SANTINHOS PARA PROPAGANDA ELEITORAL
ROSA MARIA MELO DE OLIVEIRA SANTOS;ELEICAO 2014 ILDERLEI SOUZA RODRIGUES CORDEIRO DEPUTADO FEDERAL;563,3;DOAÌàAO DE 100 MIL SANTINHOS
ORLANDO ARAUJO DA MOTA;ELEICAO 2014 ILDERLEI SOUZA RODRIGUES CORDEIRO DEPUTADO FEDERAL;563,3;DOAÌàAO DE 100 MIL SANTINHOS 
CADMIEL JOSE ARAUJO BOMFIM;ELEICAO 2014 ILDERLEI SOUZA RODRIGUES CORDEIRO DEPUTADO FEDERAL;3000;DOAÌàÌÄO DE 135 MIL SANTINHOS
